Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,pH - Min,pH - Max,Type Water Body_BEACH,Type Water Body_CANAL,Type Water Body_CREEK,Type Water Body_DRAIN,Type Water Body_LAKE,Type Water Body_MARINE,Type Water Body_POND,Type Water Body_RIVER,Type Water Body_SEA,Type Water Body_STP,Type Water Body_WATER TREATMENT PLANT (RAW WATER),State Name_ANDHRA PRADESH,State Name_ASSAM,State Name_DELHI,State Name_GOA,State Name_GUJARAT,State Name_HARYANA,State Name_HIMACHAL PRADESH,State Name_JHARKHAND,State Name_MADHYA PRADESH,State Name_MAHARASHTRA,State Name_ODISHA,State Name_PUNJAB,State Name_RAJASTHAN,State Name_TAMIL NADU,State Name_TELANGANA,State Name_UTTAR PRADESH,State Name_UTTARAKHAND,water_quality
12.0,29.0,3.3,6.5,6.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.0,26.0,5.9,7.5,7.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17.0,36.0,5.8,7.5,7.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19.0,34.0,7.4,7.3,7.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16.0,33.0,7.4,7.4,7.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15.0,30.0,6.5,7.2,7.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.5,33.5,7.3,7.0,7.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.0,27.0,7.8,7.3,7.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.0,26.0,7.3,7.4,7.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.0,33.0,7.5,7.4,7.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.0,26.0,6.7,6.6,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.5,30.0,7.3,7.4,7.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.0,24.0,7.1,7.52,8.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.0,23.5,8.7,8.1,8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21.0,26.0,7.5,7.55,8.27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20.0,27.0,7.4,7.79,8.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.0,23.0,7.0,7.23,8.18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.0,16.0,6.9,7.54,8.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.0,18.0,7.5,7.54,8.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20.0,27.0,6.9,7.77,8.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19.0,27.0,7.4,7.64,8.29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.0,24.0,6.8,7.38,8.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.0,23.0,6.9,7.37,8.17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19.0,26.0,7.4,7.6,8.16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17.0,32.0,4.7,6.96,8.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21.0,31.0,6.0,7.32,8.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
21.0,31.0,6.1,7.36,8.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5.0,32.0,5.0,7.32,8.86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
