,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,Dissolved - Max,pH - Min,pH - Max,BOD (mg/L) - Min,BOD (mg/L) - Max,Total Coliform (MPN/100ml) - Min,Total Coliform (MPN/100ml) - Max
0,RIVER,JHARKHAND,12.0,29.0,3.3,5.2,6.5,6.6,2,2.9,,
1,RIVER,JHARKHAND,12.0,26.0,5.9,7.2,7.5,7.6,1.9,3.2,,
2,RIVER,JHARKHAND,17.0,36.0,5.8,6.6,7.5,7.8,1.3,1.6,,
3,RIVER,JHARKHAND,19.0,34.0,7.4,7.8,7.3,7.6,1.8,2.7,,
4,RIVER,JHARKHAND,16.0,33.0,7.4,8.0,7.4,7.8,1.3,2.0,,
5,RIVER,JHARKHAND,15.0,30.0,6.5,7.5,7.2,7.5,2.2,3.6,,
6,RIVER,JHARKHAND,18.5,33.5,7.3,8.1,7.0,7.6,1.6,2.8,,
7,RIVER,JHARKHAND,12.0,27.0,7.8,8.5,7.3,7.5,1.1,1.8,,
8,RIVER,JHARKHAND,13.0,26.0,7.3,7.8,7.4,7.6,1.3,2.3,,
9,RIVER,JHARKHAND,18.0,33.0,7.5,8.7,7.4,7.6,1.8,2.7,,
10,RIVER,JHARKHAND,14.0,26.0,6.7,8.5,6.6,8.0,1.5,3.0,,
11,RIVER,JHARKHAND,14.5,30.0,7.3,8.5,7.4,7.7,2.3,3.4,,
12,RIVER,HIMACHAL PRADESH,8.0,24.0,7.1,9.0,7.52,8.14,,,7.8,920.0
13,RIVER,UTTARAKHAND,14.0,23.5,8.7,9.4,8.1,8.5,,,13,79000.0
14,RIVER,HIMACHAL PRADESH,21.0,26.0,7.5,8.3,7.55,8.27,,,130,210.0
15,RIVER,HIMACHAL PRADESH,20.0,27.0,7.4,8.2,7.79,8.25,,,130,280.0
16,RIVER,HIMACHAL PRADESH,7.0,23.0,7,8.6,7.23,8.18,,,6.8,1600.0
17,RIVER,HIMACHAL PRADESH,8.0,16.0,6.9,8.6,7.54,8.3,,,26,1600.0
18,RIVER,HIMACHAL PRADESH,7.0,18.0,7.5,8.9,7.54,8.48,,,21,1600.0
19,RIVER,HIMACHAL PRADESH,20.0,27.0,6.9,8.2,7.77,8.32,,,40,170.0
20,RIVER,HIMACHAL PRADESH,19.0,27.0,7.4,8.1,7.64,8.29,,,40,220.0
21,RIVER,HIMACHAL PRADESH,8.0,24.0,6.8,8.5,7.38,8.13,,,14,1600.0
22,RIVER,HIMACHAL PRADESH,8.0,23.0,6.9,8.5,7.37,8.17,,,17,1600.0
23,RIVER,HIMACHAL PRADESH,19.0,26.0,7.4,8.0,7.6,8.16,,,46,170.0
24,RIVER,MADHYA PRADESH,17.0,32.0,4.7,12.4,6.96,8.25,1.4,5.0,120,350.0
25,RIVER,MADHYA PRADESH,21.0,31.0,6,7.5,7.32,8.22,1.1,1.8,27,79.0
26,RIVER,MADHYA PRADESH,21.0,31.0,6.1,7.8,7.36,8.32,1.1,1.9,26,63.0
27,RIVER,MADHYA PRADESH,5.0,32.0,5,13.6,7.32,8.86,1.2,20.4,120,1600.0
28,RIVER,MADHYA PRADESH,18.0,32.0,5.5,13.3,7.08,8.27,1.5,16.8,150,1600.0
29,RIVER,MADHYA PRADESH,22.0,30.0,6.6,7.5,7.28,8.38,1.1,2.1,22,84.0
30,RIVER,MADHYA PRADESH,21.4,32.6,7.9,10.2,7.83,8.14,1.6,3.3,4500,790000.0
31,RIVER,RAJASTHAN,21.0,34.0,3.7,5.6,7.98,8.46,1.2,2.2,75,220.0
32,RIVER,RAJASTHAN,22.0,34.0,3.7,5.1,8.15,8.56,1.2,2.1,64,210.0
33,RIVER,RAJASTHAN,17.0,32.0,3.7,6.2,8.1,8.55,1.1,2.1,110,280.0
34,RIVER,RAJASTHAN,18.0,31.0,1.6,2.9,7.97,8.82,3.3,5.4,430,540.0
35,RIVER,RAJASTHAN,17.0,31.0,5,6.6,7.1,8.38,1.1,3.6,210,280.0
36,RIVER,MADHYA PRADESH,22.0,30.0,6.4,7.7,7.26,8.05,2,6.0,48,1600.0
37,MARINE,ANDHRA PRADESH,21.0,30.0,5.2,7.2,7.4,8.4,1.2,2.5,48,120.0
38,MARINE,ANDHRA PRADESH,25.0,28.0,5.2,6.6,7.7,8.5,1.4,2.8,39,210.0
39,BEACH,ANDHRA PRADESH,25.0,29.0,4.8,7.0,7.7,8.5,1.2,2.9,39,150.0
40,BEACH,ANDHRA PRADESH,25.0,28.0,4.5,7.9,7.8,8.5,2.2,2.8,48,150.0
41,SEA,ANDHRA PRADESH,25.0,27.0,5.3,8.0,7.4,8.4,2.2,3.9,75,460.0
42,SEA,ANDHRA PRADESH,24.0,26.0,5.7,7.5,7.1,8.2,2.2,2.8,64,460.0
43,MARINE,ANDHRA PRADESH,22.0,30.0,5.1,8.0,7.8,8.4,1.3,2.0,49,120.0
44,BEACH,ANDHRA PRADESH,25.0,27.0,5.5,6.8,7.5,8.0,2.4,2.8,75,252.0
45,MARINE,ANDHRA PRADESH,22.0,24.0,4.6,6.7,7.3,8.0,2.3,2.9,64,272.0
46,BEACH,ANDHRA PRADESH,22.0,26.0,5.1,6.6,7.5,8.3,2.3,2.8,64,354.0
47,BEACH,ANDHRA PRADESH,22.0,25.0,5.4,6.7,7.6,8.1,2.6,2.9,75,210.0
48,MARINE,ANDHRA PRADESH,19.0,21.0,5.6,6.7,7.2,8.0,2.4,2.9,64,243.0
49,BEACH,GOA,28.0,30.0,5.9,7.5,7.2,8.3,1,2.3,23,540.0
50,BEACH,GOA,28.0,32.0,5.9,7.6,7.7,8.5,1,2.0,110,540.0
51,BEACH,GOA,27.0,30.0,5.7,7.5,7.4,8.4,1,1.9,79,540.0
52,BEACH,GOA,28.0,30.0,5.5,7.3,7.3,8.7,1,2.1,23,280.0
53,CANAL,ANDHRA PRADESH,24.0,25.0,1.6,3.1,6.7,8.0,9,23.0,1100,4900.0
