,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,Dissolved - Max,pH - Min,pH - Max,BOD (mg/L) - Min,BOD (mg/L) - Max,Total Coliform (MPN/100ml) - Min,Total Coliform (MPN/100ml) - Max
0,RIVER,MADHYA PRADESH,17.0,32.0,4.7,12.4,6.96,8.25,1.4,5.0,120.0,350.0
1,RIVER,MADHYA PRADESH,21.0,31.0,6.0,7.5,7.32,8.22,1.1,1.8,27.0,79.0
2,RIVER,MADHYA PRADESH,21.0,31.0,6.1,7.8,7.36,8.32,1.1,1.9,26.0,63.0
3,RIVER,MADHYA PRADESH,5.0,32.0,5.0,13.6,7.32,8.86,1.2,20.4,120.0,1600.0
4,RIVER,MADHYA PRADESH,18.0,32.0,5.5,13.3,7.08,8.27,1.5,16.8,150.0,1600.0
5,RIVER,MADHYA PRADESH,22.0,30.0,6.6,7.5,7.28,8.38,1.1,2.1,22.0,84.0
6,RIVER,MADHYA PRADESH,21.4,32.6,7.9,10.2,7.83,8.14,1.6,3.3,4500.0,790000.0
7,RIVER,RAJASTHAN,21.0,34.0,3.7,5.6,7.98,8.46,1.2,2.2,75.0,220.0
8,RIVER,RAJASTHAN,22.0,34.0,3.7,5.1,8.15,8.56,1.2,2.1,64.0,210.0
9,RIVER,RAJASTHAN,17.0,32.0,3.7,6.2,8.1,8.55,1.1,2.1,110.0,280.0
10,RIVER,RAJASTHAN,18.0,31.0,1.6,2.9,7.97,8.82,3.3,5.4,430.0,540.0
11,RIVER,RAJASTHAN,17.0,31.0,5.0,6.6,7.1,8.38,1.1,3.6,210.0,280.0
12,RIVER,MADHYA PRADESH,22.0,30.0,6.4,7.7,7.26,8.05,2.0,6.0,48.0,1600.0
13,MARINE,ANDHRA PRADESH,21.0,30.0,5.2,7.2,7.4,8.4,1.2,2.5,48.0,120.0
14,MARINE,ANDHRA PRADESH,25.0,28.0,5.2,6.6,7.7,8.5,1.4,2.8,39.0,210.0
15,BEACH,ANDHRA PRADESH,25.0,29.0,4.8,7.0,7.7,8.5,1.2,2.9,39.0,150.0
16,BEACH,ANDHRA PRADESH,25.0,28.0,4.5,7.9,7.8,8.5,2.2,2.8,48.0,150.0
17,SEA,ANDHRA PRADESH,25.0,27.0,5.3,8.0,7.4,8.4,2.2,3.9,75.0,460.0
18,SEA,ANDHRA PRADESH,24.0,26.0,5.7,7.5,7.1,8.2,2.2,2.8,64.0,460.0
19,MARINE,ANDHRA PRADESH,22.0,30.0,5.1,8.0,7.8,8.4,1.3,2.0,49.0,120.0
20,BEACH,ANDHRA PRADESH,25.0,27.0,5.5,6.8,7.5,8.0,2.4,2.8,75.0,252.0
21,MARINE,ANDHRA PRADESH,22.0,24.0,4.6,6.7,7.3,8.0,2.3,2.9,64.0,272.0
22,BEACH,ANDHRA PRADESH,22.0,26.0,5.1,6.6,7.5,8.3,2.3,2.8,64.0,354.0
23,BEACH,ANDHRA PRADESH,22.0,25.0,5.4,6.7,7.6,8.1,2.6,2.9,75.0,210.0
24,MARINE,ANDHRA PRADESH,19.0,21.0,5.6,6.7,7.2,8.0,2.4,2.9,64.0,243.0
25,BEACH,GOA,28.0,30.0,5.9,7.5,7.2,8.3,1.0,2.3,23.0,540.0
26,BEACH,GOA,28.0,32.0,5.9,7.6,7.7,8.5,1.0,2.0,110.0,540.0
27,BEACH,GOA,27.0,30.0,5.7,7.5,7.4,8.4,1.0,1.9,79.0,540.0
28,BEACH,GOA,28.0,30.0,5.5,7.3,7.3,8.7,1.0,2.1,23.0,280.0
29,CANAL,ANDHRA PRADESH,24.0,25.0,1.6,3.1,6.7,8.0,9.0,23.0,1100.0,4900.0
30,CANAL,ANDHRA PRADESH,25.0,30.0,4.5,6.5,7.3,8.3,1.1,2.8,75.0,460.0
31,CANAL,ANDHRA PRADESH,22.0,28.0,4.2,8.4,7.5,8.0,1.2,2.8,120.0,460.0
32,CANAL,ANDHRA PRADESH,25.0,27.0,3.4,7.0,6.3,8.4,2.4,5.2,64.0,1100.0
33,CANAL,ANDHRA PRADESH,22.0,30.0,3.4,8.1,7.2,8.4,1.6,4.2,120.0,240.0
34,CANAL,GOA,27.0,31.0,5.0,7.4,5.7,7.3,1.0,1.7,1400.0,9200.0
35,CANAL,GOA,26.0,31.0,4.4,8.2,5.9,7.4,1.0,2.0,400.0,7900.0
36,CANAL,GOA,26.0,30.0,4.2,7.5,6.7,7.8,1.1,1.9,920.0,3500.0
