,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,pH - Min,pH - Max,water_quality
0,RIVER,MADHYA PRADESH,17.0,32.0,4.7,6.96,8.25,0
1,RIVER,MADHYA PRADESH,21.0,31.0,6.0,7.32,8.22,2
2,RIVER,MADHYA PRADESH,21.0,31.0,6.1,7.36,8.32,2
3,RIVER,MADHYA PRADESH,5.0,32.0,5.0,7.32,8.86,0
4,RIVER,MADHYA PRADESH,18.0,32.0,5.5,7.08,8.27,0
5,RIVER,MADHYA PRADESH,22.0,30.0,6.6,7.28,8.38,2
6,RIVER,MADHYA PRADESH,21.4,32.6,7.9,7.83,8.14,0
7,RIVER,RAJASTHAN,21.0,34.0,3.7,7.98,8.46,0
8,RIVER,RAJASTHAN,22.0,34.0,3.7,8.15,8.56,0
9,RIVER,RAJASTHAN,17.0,32.0,3.7,8.1,8.55,0
10,RIVER,RAJASTHAN,18.0,31.0,1.6,7.97,8.82,0
11,RIVER,RAJASTHAN,17.0,31.0,5.0,7.1,8.38,0
12,RIVER,MADHYA PRADESH,22.0,30.0,6.4,7.26,8.05,0
13,MARINE,ANDHRA PRADESH,21.0,30.0,5.2,7.4,8.4,2
14,MARINE,ANDHRA PRADESH,25.0,28.0,5.2,7.7,8.5,2
15,BEACH,ANDHRA PRADESH,25.0,29.0,4.8,7.7,8.5,2
16,BEACH,ANDHRA PRADESH,25.0,28.0,4.5,7.8,8.5,2
17,SEA,ANDHRA PRADESH,25.0,27.0,5.3,7.4,8.4,0
18,SEA,ANDHRA PRADESH,24.0,26.0,5.7,7.1,8.2,2
19,MARINE,ANDHRA PRADESH,22.0,30.0,5.1,7.8,8.4,2
20,BEACH,ANDHRA PRADESH,25.0,27.0,5.5,7.5,8.0,2
21,MARINE,ANDHRA PRADESH,22.0,24.0,4.6,7.3,8.0,2
22,BEACH,ANDHRA PRADESH,22.0,26.0,5.1,7.5,8.3,2
23,BEACH,ANDHRA PRADESH,22.0,25.0,5.4,7.6,8.1,2
24,MARINE,ANDHRA PRADESH,19.0,21.0,5.6,7.2,8.0,2
25,BEACH,GOA,28.0,30.0,5.9,7.2,8.3,2
26,BEACH,GOA,28.0,32.0,5.9,7.7,8.5,2
27,BEACH,GOA,27.0,30.0,5.7,7.4,8.4,2
28,BEACH,GOA,28.0,30.0,5.5,7.3,8.7,2
29,CANAL,ANDHRA PRADESH,24.0,25.0,1.6,6.7,8.0,0
